frame,emotion,confidence
3906,neutral,0.38150266
3912,neutral,0.35233557
3918,neutral,0.45430696
3924,neutral,0.66645354
3930,neutral,0.5706536
3936,fear,0.3386858
3942,fear,0.35238004
3948,neutral,0.4139999
3954,neutral,0.36875644
3960,neutral,0.29642227
3966,fear,0.2991941
3972,neutral,0.3909607
3978,neutral,0.48294663
3984,fear,0.30080983
3990,neutral,0.39970714
3996,neutral,0.38914666
4002,neutral,0.749563
4008,neutral,0.7455769
4014,neutral,0.75772065
4020,neutral,0.70087296
4026,neutral,0.58905965
4032,neutral,0.7221592
4038,neutral,0.63737035
4044,neutral,0.42657423
4050,fear,0.37418061
4056,fear,0.3256789
4062,fear,0.35334077
4068,fear,0.27748474
4074,sad,0.263099
4080,sad,0.29734954
4086,sad,0.31326094
4092,sad,0.3902983
4098,sad,0.42838448
4104,sad,0.31651646
4110,neutral,0.420941
4116,neutral,0.5066051
4122,fear,0.37801832
4128,neutral,0.35813096
4134,fear,0.49715036
4140,neutral,0.32989502
4146,neutral,0.49482933
4152,neutral,0.7744976
4158,neutral,0.7003621
4164,neutral,0.6135729
4170,neutral,0.38645247
4176,neutral,0.4634203
4182,neutral,0.38076597
4188,neutral,0.74433994
4194,neutral,0.769466
4200,neutral,0.7614504
4206,fear,0.4776932
4212,neutral,0.44601083
4218,neutral,0.55958164
4224,neutral,0.8370369
4230,neutral,0.36697286
4236,neutral,0.49507675
4242,neutral,0.5790789
4248,neutral,0.3736926
4254,neutral,0.30350634
4260,neutral,0.5989837
4266,happy,0.43189907
4272,neutral,0.62181205
4278,fear,0.3663349
4284,neutral,0.49033728
4290,happy,0.32318452
4296,happy,0.49391878
4302,neutral,0.45186642
4308,neutral,0.46164587
4314,neutral,0.48739097
4320,neutral,0.66351527
4326,neutral,0.6533607
4332,neutral,0.76386416
4338,neutral,0.69085413
4344,neutral,0.5577222
4350,neutral,0.5105451
4356,fear,0.4536604
4362,neutral,0.45456776
4368,neutral,0.66698605
4374,fear,0.37140098
4380,neutral,0.73386055
4386,neutral,0.6806407
4392,neutral,0.64574444
4398,fear,0.31562114
4404,neutral,0.48722628
4410,neutral,0.41625747
4416,neutral,0.7847879
4422,neutral,0.6840299
4428,neutral,0.7496573
4434,neutral,0.66584986
4440,neutral,0.7639016
4446,neutral,0.86821145
4452,neutral,0.84307754
4458,neutral,0.65338564
4464,neutral,0.87061185
4470,neutral,0.80403763
4476,neutral,0.82036936
4482,neutral,0.64750034
4488,neutral,0.58303005
4494,neutral,0.8628317
4500,neutral,0.79342717
4506,neutral,0.7548572
4512,neutral,0.726487
4518,neutral,0.6655376
4524,neutral,0.82987237
4530,neutral,0.84376884
4536,neutral,0.84515876
4542,neutral,0.7777159
4548,neutral,0.80159533
4554,neutral,0.7263147
4560,neutral,0.88004476
4566,neutral,0.8046938
4572,neutral,0.84798986
4578,neutral,0.94472647
4584,neutral,0.7843688
4590,neutral,0.6597083
4596,neutral,0.7590603
4602,neutral,0.6826182
4608,neutral,0.8186192
4614,neutral,0.87737614
4620,neutral,0.617206
4626,neutral,0.56508225
4632,neutral,0.6656113
4638,neutral,0.68073964
4644,neutral,0.584505
4650,fear,0.2586276
4656,angry,0.30673164
4662,neutral,0.7088813
4668,neutral,0.8870268
4674,neutral,0.7864073
4680,neutral,0.73053354
4686,neutral,0.73174995
4692,neutral,0.77298915
