,frame,emotion,confidence
544,4386,Neutral,0.67516375
545,4392,Neutral,0.6817893
546,4398,Happy,0.60091484
547,4404,Neutral,0.6260504
548,4410,Neutral,0.85791606
549,4416,Neutral,0.44745538
550,4434,Neutral,0.48827145
551,4440,Neutral,0.69078654
552,4446,Neutral,0.5750509
553,4452,Happy,0.5744171
554,4470,Neutral,0.70236105
555,4476,Neutral,0.78576595
556,4482,Neutral,0.5467992
557,4488,Happy,0.65600824
558,4494,Happy,0.48382488
559,4500,Neutral,0.6090182
560,4506,Neutral,0.7254184
561,4518,Happy,0.8857984
562,4530,Happy,0.548856
563,4536,Neutral,0.7839951
564,4542,Neutral,0.5088962
565,4548,Happy,0.5652604
566,4554,Happy,0.6951214
567,4560,Happy,0.8351065
568,4566,Happy,0.77841043
569,4572,Happy,0.7143323
570,4578,Neutral,0.8614844
571,4584,Neutral,0.5551518
572,4590,Happy,0.72535
573,4596,Neutral,0.7936417
574,4602,Neutral,0.4797799
575,4608,Happy,0.5854589
576,4614,Neutral,0.898279
577,4620,Neutral,0.89128256
578,4626,Neutral,0.82281256
579,4632,Neutral,0.74741435
580,4644,Neutral,0.33555865
581,4650,Neutral,0.64292544
582,4656,Neutral,0.39523855
583,4668,Neutral,0.73911124
584,4674,Neutral,0.8459612
585,4680,Neutral,0.3231922
586,4686,Neutral,0.7246131
587,4692,Neutral,0.6614564
588,4722,Neutral,0.77755487
589,4728,Neutral,0.4898483
590,4734,Neutral,0.7694577
591,4740,Neutral,0.7759581
592,4746,Neutral,0.6367145
593,4752,Neutral,0.7596234
594,4758,Neutral,0.68366224
595,4782,Neutral,0.41587186
596,4788,Neutral,0.70797116
597,4794,Happy,0.4572617
598,4800,Neutral,0.7818026
599,4806,Neutral,0.7651193
600,4812,Neutral,0.45663035
601,4818,Neutral,0.80005294
602,4824,Neutral,0.83007723
603,4830,Happy,0.537346
604,4836,Happy,0.6887958
605,4854,Happy,0.66384834
606,4860,Neutral,0.5349878
607,4872,Happy,0.4555184
608,4878,Neutral,0.49548888
609,4890,Angry,0.32310995
610,4896,Angry,0.31465557
611,4902,Surprise,0.41606295
612,4908,Surprise,0.6699937
613,4926,Happy,0.72394645
614,4932,Neutral,0.42698732
615,4938,Surprise,0.40109745
616,4944,Neutral,0.6536581
617,4950,Neutral,0.46130544
618,4962,Happy,0.99206924
619,4968,Happy,0.9895922
620,4974,Neutral,0.61837643
621,4980,Neutral,0.62880164
622,4986,Neutral,0.64925283
623,4992,Neutral,0.81719434
624,4998,Neutral,0.8614625
625,5004,Neutral,0.8255242
626,5010,Neutral,0.68797153
627,5016,Neutral,0.8318709
628,5034,Neutral,0.7365772
629,5040,Neutral,0.59522474
630,5046,Neutral,0.48320824
631,5058,Neutral,0.6621253
632,5064,Neutral,0.38588294
633,5070,Neutral,0.5719659
634,5076,Neutral,0.7735605
635,5082,Neutral,0.60489565
636,5088,Neutral,0.4932637
637,5094,Neutral,0.54723865
638,5100,Neutral,0.4842244
639,5112,Neutral,0.6359733
640,5118,Neutral,0.7367662
641,5130,Neutral,0.64385366
642,5136,Neutral,0.60396034
643,5142,Neutral,0.68061614
644,5148,Neutral,0.69338745
645,5154,Neutral,0.63637733
646,5160,Neutral,0.74307066
647,5166,Neutral,0.6561055
648,5172,Neutral,0.54333335
649,5178,Neutral,0.56081945
650,5184,Surprise,0.32269368
651,5190,Neutral,0.40552512
652,5196,Neutral,0.6694873
653,5202,Neutral,0.5006559
654,5208,Neutral,0.61076933
655,5214,Neutral,0.60248816
656,5220,Neutral,0.5889209
657,5226,Neutral,0.5853007
658,5232,Neutral,0.4888051
659,5238,Neutral,0.32438326
660,5244,Neutral,0.24892744
661,5250,Neutral,0.52930784
662,5256,Neutral,0.5591341
663,5262,Neutral,0.7828095
664,5268,Neutral,0.7677914
665,5274,Neutral,0.73915976
666,5280,Neutral,0.44536126
667,5286,Neutral,0.5888597
668,5292,Neutral,0.80946803
669,5298,Neutral,0.7220672
670,5304,Neutral,0.6148195
671,5310,Neutral,0.5655904
672,5322,Neutral,0.50229603
673,5328,Neutral,0.56405604
674,5340,Sad,0.49026054
675,5346,Neutral,0.3811575
676,5352,Neutral,0.5496366
677,5358,Neutral,0.38698497
678,5370,Neutral,0.7733965
679,5376,Neutral,0.53797317
680,5382,Neutral,0.6255197
681,5388,Neutral,0.52297074
682,5400,Neutral,0.41706792
683,5406,Happy,0.24948087
684,5412,Happy,0.41841915
685,5418,Neutral,0.3765429
686,5424,Neutral,0.55359685
687,5430,Neutral,0.62564373
688,5436,Neutral,0.67830855
689,5442,Neutral,0.7622753
690,5448,Neutral,0.69363743
691,5454,Happy,0.48503307
692,5460,Happy,0.49123695
693,5466,Neutral,0.8031269
694,5472,Neutral,0.8697301
695,5478,Neutral,0.7938347
696,5490,Neutral,0.85167617
